advisor_mode,beta,lam,beta_mean,beta_std,lam_mean,lam_std,J_ext_mix_mean,J_ext_mix_std,J_ext_advisor_mean,J_ext_advisor_std,J_ext_actor_mean,J_ext_actor_std,J_ext_solo_mean,J_ext_solo_std,competence_mean,competence_std,G_beta_mean,G_beta_std,dJ_dbeta_mean,dJ_dbeta_std,H_lambda_mean,H_lambda_std,dJ_dlambda_mean,dJ_dlambda_std,D_e_mean,D_e_std,I_e_mean,I_e_std,room_occ_mean,room_occ_std
boltzmann,0.8,0.5,0.8000000000000002,0.0,0.5,0.0,0.11532983789944876,0.01378802104082281,0.0758371852772464,0.0021335213733018445,0.20491777727223284,0.06563389111513099,0.6050503095923923,0.03340191511017208,0.281557814333928,0.09018121889960287,0.0035869855694747226,0.0014822655050036224,-0.1936972207516353,0.08004233727019573,-2.0016406487436877e-05,8.294477656259093e-06,-0.002882362534190915,0.001194404782501311,0.20475531231393573,0.027805563710294252,0.1638042498511486,0.0222444509682354,0.19271181383799807,0.01809848022585806
boltzmann,0.8,0.75,0.8000000000000002,0.0,0.75,0.0,0.1129675477575594,0.013647403907988282,0.07543138163465948,0.0020824536427953514,0.2062694698971138,0.06627842257572829,0.6050503095923923,0.03340191511017208,0.28341504520076094,0.09106680760611197,0.0034360176112183892,0.0014785824372736255,-0.18554495100579335,0.07984345161277591,-4.018402836731217e-05,8.923650405658216e-06,-0.005786500084892961,0.001285005658414785,0.20150382242112663,0.02738010263969117,0.16120305793690132,0.021904082111752928,0.1960875297203946,0.01764886344824383
boltzmann,0.8,1.0,0.8000000000000002,0.0,1.0,0.0,0.10954948705461637,0.013519783677759098,0.07409459617044603,0.001990632714756912,0.20591275845609128,0.06696263938281641,0.6050503095923923,0.03340191511017208,0.2829249223084519,0.09200692413137732,0.0032784940679059277,0.0014722228220940786,-0.17703867966692038,0.07950003239308039,-6.360725909349712e-05,9.806577787412532e-06,-0.009159445309463601,0.0014121472013874073,0.19714057205879773,0.02692243875267638,0.15771245764703817,0.0215379510021411,0.1992447159292865,0.017087447443813367
boltzmann,0.8,1.25,0.8000000000000002,0.0,1.25,0.0,0.1048430865069144,0.01340452124200222,0.07153311613655244,0.0018225317881674884,0.2028509099888051,0.06757441419837767,0.6050503095923923,0.03340191511017208,0.2787179307348242,0.09284750508158514,0.003115778889819916,0.0014608582907996964,-0.1682520600502757,0.07888634770318373,-8.994833581621716e-05,1.090964235209219e-05,-0.012952560357535291,0.0015709884987012781,0.19156612534182293,0.02640940963221676,0.15325290027345836,0.021127527705773398,0.20214444614886257,0.01637152738622056
boltzmann,0.8,1.5,0.8000000000000002,0.0,1.5,0.0,0.09866387303579352,0.013283507560103533,0.0674465291431866,0.0015403598275866882,0.19584542085891854,0.06778641251930813,0.6050503095923923,0.03340191511017208,0.26909236171876694,0.09313879159014583,0.0029521078949781717,0.0014414191461896025,-0.1594138263288215,0.07783663389423867,-0.00011794697498868721,1.196313286543517e-05,-0.016984364398370984,0.0017226911326226676,0.18450969431314235,0.025980242547013685,0.14760775545051388,0.02078419403761095,0.20483118388064497,0.015437402841848975
boltzmann,0.8,2.0,0.8000000000000002,0.0,2.0,0.0,0.0822744642966731,0.012759392317096465,0.054191623347290815,0.0006994950271793054,0.16657813558188822,0.06423553311905396,0.6050503095923923,0.03340191511017208,0.22887899915071203,0.0882598696332151,0.002680903749241831,0.0013656183193713723,-0.1447688024590591,0.07374338924605423,-0.00016716522647241362,1.1902241722415837e-05,-0.024071792612027597,0.0017139228080278845,0.16729545178973132,0.026142569681857842,0.13383636143178507,0.020914055745486264,0.21091342320233103,0.012618586129406697
boltzmann,0.8,3.0,0.8000000000000002,0.0,3.0,0.0,0.051857730939069716,0.009373641742750719,0.020599147826568992,0.0004834301279807451,0.09184975898770992,0.040765021750675985,0.6050503095923923,0.03340191511017208,0.1262019222144956,0.05601129671705961,0.002964633650385138,0.0011684066099785003,-0.16009021712079774,0.06309395693883912,-0.00015236257706759723,1.6468366083079804e-05,-0.021940211097734037,0.002371444715963492,0.15356544397495664,0.027324887018792602,0.12285235517996532,0.021859909615034086,0.2431805547227912,0.007452266164145398
shaped,0.8,0.0,0.8000000000000002,0.0,0.0,0.0,0.5072805656950639,0.04992396286680791,0.5608785528560714,0.04988249347905845,0.15154989229020202,0.05764244964318699,0.6050503095923923,0.03340191511017208,0.2082301350511157,0.07920094757239213,-0.0055644813720543765,0.0007090163504973394,0.3004819940909368,0.03828688292685637,-5.586323297731534e-05,3.071944904681242e-05,-0.008044305548733421,0.004423600662740996,0.16824683791806855,0.016249256679528506,0.13459747033445482,0.012999405343622806,0.5908019067876699,0.04331137670621149
shaped,0.8,0.25,0.8000000000000002,0.0,0.25,0.0,0.5106136084697928,0.05101936095207417,0.5634238275763093,0.05181590527587972,0.1491808547081846,0.056330650691858615,0.6050503095923923,0.03340191511017208,0.2049750682992369,0.07739853076649987,-0.005488040983653983,0.0007584930460794478,0.2963542131173155,0.04095862448829026,-6.143724750907125e-05,3.137248913869888e-05,-0.008846963641306275,0.004517638435972646,0.16985523204620706,0.0171545643075758,0.13588418563696564,0.01372365144606065,0.5984573697520819,0.04259621117965569
shaped,0.8,0.5,0.8000000000000002,0.0,0.5,0.0,0.511178425542776,0.05163152609650882,0.5591663849910403,0.05561999918406196,0.14165934819004683,0.055849196565391,0.6050503095923923,0.03340191511017208,0.1946404894064947,0.07673701094447789,-0.005218772505697016,0.000907246989226069,0.2818137153076394,0.04899133741820781,-6.77338600818414e-05,3.223404194978544e-05,-0.009753675851785175,0.004641702040769111,0.17735027611243595,0.023556884462834504,0.14188022088994878,0.018845507570267588,0.6056848156243453,0.04225941350349193
shaped,0.8,0.75,0.8000000000000002,0.0,0.75,0.0,0.508293122800098,0.05336482928541409,0.5397773316275352,0.07191049379946701,0.12822535199337554,0.054590195682372826,0.6050503095923923,0.03340191511017208,0.17618212694885346,0.07500713888756914,-0.004611685747529994,0.0012832095253769713,0.24903103036662008,0.06929331437035657,-7.704565917941277e-05,3.647825379799445e-05,-0.011094574921835458,0.00525286854691121,0.19290519250794744,0.032034838351071446,0.15432415400635796,0.025627870680857128,0.6129598364175628,0.04128183573714919
shaped,0.8,1.0,0.8000000000000002,0.0,1.0,0.0,0.5015264101314125,0.053958498835678895,0.5023192029433292,0.0939588865699072,0.10876638679913808,0.05164669885352642,0.6050503095923923,0.03340191511017208,0.14944543390923065,0.07096276292048145,-0.0036192411346520955,0.0015307164246890655,0.1954390212712135,0.08265868693320966,-9.018890683684471e-05,4.3486241826577355e-05,-0.012987202584505659,0.006262018823027149,0.2139564448013274,0.03679965633058171,0.1711651558410619,0.029439725064465388,0.6199821939494685,0.03952732928210369
shaped,0.8,1.25,0.8000000000000002,0.0,1.25,0.0,0.48758326934415197,0.05490824988351289,0.42870050793850656,0.10665462957466432,0.08572034837108534,0.04790130143596788,0.6050503095923923,0.03340191511017208,0.11778008844611891,0.06581657245942275,-0.001879992127195596,0.0018803236902784114,0.10151957486856233,0.10153747927503436,-0.00010955538683019809,5.745764754491779e-05,-0.01577597570354855,0.008273901246468172,0.24215040583187264,0.04220483459793093,0.1937203246654981,0.03376386767834473,0.6267114523062229,0.035394140703654986
shaped,0.8,1.5,0.8000000000000002,0.0,1.5,0.0,0.47453859631041795,0.05472770811223438,0.3386937929875289,0.12040004994464627,0.06749039545581714,0.04513085428981789,0.6050503095923923,0.03340191511017208,0.09273206300606918,0.062009967422118555,0.00023521088296368472,0.002727752859376108,-0.012701387680038992,0.14729865440631007,-0.00012889290563332912,7.184862157946746e-05,-0.018560578411199423,0.010346201507443328,0.26921811421301733,0.046433539555837344,0.21537449137041387,0.0371468316446699,0.6348552121261725,0.0282859295553478
shaped,0.8,2.0,0.8000000000000002,0.0,2.0,0.0,0.4029461021817708,0.06615626794013907,0.17197742656943543,0.09406178907438771,0.05132843499276879,0.044811059044586384,0.6050503095923923,0.03340191511017208,0.07052546715137234,0.061570567524850774,0.006561943898782998,0.0048054118146321914,-0.3543449705342825,0.2594922379901388,-0.0002591841162571567,0.00014429610957767915,-0.037322512741030635,0.02077863977918583,0.3319797243936804,0.04954807824736443,0.26558377951494433,0.03963846259789154,0.6409685990750451,0.025047499420945564
shaped,0.8,3.0,0.8000000000000002,0.0,3.0,0.0,0.09476830061980285,0.03944771173033124,0.002971223876621054,0.003576525132771243,0.03911856100919625,0.037019768872245895,0.6050503095923923,0.03340191511017208,0.05374905332398496,0.05086530485331946,0.014051315293853544,0.003938247132336469,-0.7587710258680925,0.2126653451461697,-0.000257560653636247,8.134208792395473e-05,-0.03708873412361963,0.011713260661049503,0.5486278152586866,0.03285159086979289,0.43890225220694934,0.02628127269583432,0.6386618737245329,0.02934598222956085
