cfg.experiment,cfg.held_beta,cfg.seed,cfg.n_iters,cfg.snapshots,cfg.train_eps,cfg.probe_eps,cfg.critic_iters,cfg.roster,cfg.recipe,cfg.gae_lambda,cfg.tau,cfg.gamma,cfg.j_opt,cfg.fragile_thresh,cfg.buffer,cfg.cnn_channels,cfg.torch,cfg.device,cfg.instrument,iter,beta,lam,D_e,G_beta,H_lambda,I_e,J_ext_actor,J_ext_advisor,J_ext_mix,J_ext_mix_hat,dJ_dbeta,dJ_dlambda,distr_occ_actor,distr_occ_advisor,distr_occ_mix,distr_occ_mix_hat,max_rA_dev,max_rB_dev,max_rphi_dev,order
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),0,0.4,1.0,0.0,0.0,7.932079564166815e-06,0.0,0.008477069553485412,0.008477069553485412,0.008477069553485412,0.007476413850383936,-0.0,0.0005711097286200116,0.028561813333302318,0.028561813333302318,0.028561813333302318,0.021033572697504655,0.0006494982480871325,0.0007806964157441865,0.0007019775151499985,actor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),1,0.4,1.0,1.9905184042426735e-05,-5.219208046212111e-08,7.93333681163345e-06,7.962073616970695e-06,0.00849503657274013,0.00849785497156924,0.00849616390047572,0.0015105097324720899,2.8183723449545443e-06,0.0005712002504376094,0.028618615724746145,0.02863123875637606,0.028623664478228644,0.009812988963957532,0.0002696654807292642,0.000597267377992261,0.0003969891689281635,advisor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),2,0.4,1.0,5.2420402746464836e-05,-1.9437360596655516e-07,7.935929131192531e-06,2.0968161098585935e-05,0.008501885513347233,0.008512382343800149,0.008506083458411477,0.006549598878664863,1.0496174722193994e-05,0.0005713868974458632,0.028638845971418136,0.028679533311528317,0.02865511630980925,0.020393855108470207,0.0005017736394461458,0.0008988354081931327,0.0006605498931930853,advisor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),3,0.4,1.0,9.727309026987736e-05,-3.5960546066870797e-07,7.939239181666243e-06,3.890923610795095e-05,0.008515755263570695,0.008535176207135644,0.00852352094101282,0.007180333105324967,1.941869487611026e-05,0.0005716252210799704,0.028679755588974037,0.028755269712799944,0.02870994529568846,0.024476568738696483,0.0003207928679727079,0.0007071393966086026,0.0004256560989250868,advisor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),4,0.4,1.0,0.00014105489691289164,-5.219030422298487e-07,7.943261055701075e-06,5.642195876515666e-05,0.008524100641347935,0.008552288192212326,0.008535369913290491,0.005254870158107153,2.8182764280411872e-05,0.0005719147960104783,0.02870077011753671,0.028810557043826502,0.028744651208614806,0.0218769800551344,0.0006927185387634038,0.0011289727726448984,0.0008670697582801035,actor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),5,0.4,1.0,0.00017999362496983672,-6.519226929926657e-07,7.947186556468883e-06,7.199744998793469e-05,0.008538914863311915,0.008574125806492468,0.008552990688752819,0.0051786663816615905,3.5203825421604e-05,0.0005721974320657605,0.028745303540792272,0.028885446957834217,0.02880130593264959,0.017447554209015746,0.0007471849637609163,0.0008880965741971947,0.0008034862421663069,actor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),6,0.4,1.0,0.00019965772761997426,-7.011529606509711e-07,7.94911325674795e-06,7.986309104798971e-05,0.00855645747109881,0.008594327474910297,0.00857159616426579,0.004748795783040881,3.7862259875152496e-05,0.0005723361544858533,0.02879841897531134,0.02895199085437642,0.02885978192072497,0.01578538431679554,0.0005862114129971951,0.0007084320919565901,0.0006350405887091126,actor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),7,0.4,1.0,0.00021415481292221577,-7.520743366554746e-07,7.950485947320583e-06,8.566192516888632e-05,0.008572270288294891,0.008612891119724096,0.008588508020265333,0.0074964531553979455,4.061201417939569e-05,0.0005724349882070828,0.02884498121674873,0.029010680538320177,0.028911184103266548,0.024767381395073736,0.0006498336982247999,0.0009493296920086713,0.0007697650385207755,actor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),8,0.4,1.0,0.0002376624666141009,-8.363162733415163e-07,7.951977921199196e-06,9.506498664564036e-05,0.008589882027678202,0.008635053877435994,0.008607937814809606,0.008715553344840594,4.516107876044195e-05,0.000572542410326343,0.028899472487389583,0.029084739130265533,0.028973483279673903,0.02399498577949083,0.0006839603352887247,0.0008326250428425386,0.00072263301642983,actor_first
bridge_multiseed,0.4,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),9,0.4,1.0,0.0002610463574567778,-8.928205196587711e-07,7.954894217609967e-06,0.00010441854298271112,0.008608046795927997,0.008656270644990674,0.008627322448006526,0.0093299085812545,4.821230806157372e-05,0.0005727523836679184,0.028952780152459428,0.029154283847150166,0.029033268280448814,0.02320398837219203,0.0006491535729320486,0.0007356221559835507,0.0006837808845210347,actor_first
