cfg.experiment,cfg.held_beta,cfg.seed,cfg.n_iters,cfg.snapshots,cfg.train_eps,cfg.probe_eps,cfg.critic_iters,cfg.roster,cfg.recipe,cfg.gae_lambda,cfg.tau,cfg.gamma,cfg.j_opt,cfg.fragile_thresh,cfg.buffer,cfg.cnn_channels,cfg.torch,cfg.device,cfg.instrument,iter,beta,lam,D_e,G_beta,H_lambda,I_e,J_ext_actor,J_ext_advisor,J_ext_mix,J_ext_mix_hat,dJ_dbeta,dJ_dlambda,distr_occ_actor,distr_occ_advisor,distr_occ_mix,distr_occ_mix_hat,max_rA_dev,max_rB_dev,max_rphi_dev,order
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),0,0.5,1.0,0.0,0.0,7.932079564166815e-06,0.0,0.008477069553485412,0.008477069553485412,0.008477069553485412,0.007476413850383936,-0.0,0.0007138871607750145,0.028561813333302318,0.028561813333302318,0.028561813333302318,0.021033572697504655,0.0005412303668335117,0.0009759291145241544,0.000758579740678833,actor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),1,0.5,1.0,4.89863029705562e-05,-2.0402319100481708e-07,7.934247141003846e-06,2.44931514852781e-05,0.00849204003127705,0.008503057283528133,0.00849754758402014,0.0015105097324720899,1.1017252314260139e-05,0.0007140822426903473,0.028609142840314433,0.028648614720410144,0.028628874237930826,0.009812988963957532,0.00022471178685168347,0.0007466602187402582,0.00048019842386171074,advisor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),2,0.5,1.0,9.912894394017509e-05,-4.348802876233163e-07,7.936955178398079e-06,4.9564471970087546e-05,0.008497745395936639,0.008521228930915366,0.008509482303689832,0.006549598878664863,2.3483535531659117e-05,0.0007143259660558282,0.02862599592802447,0.028709023305956514,0.028667489876706358,0.020393855108470207,0.00041810296921607204,0.0011237617911226128,0.0007707604495306164,advisor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),3,0.5,1.0,0.00017337545326254542,-7.491852280879661e-07,7.940437784948194e-06,8.668772663127271e-05,0.008509297375171128,0.0085497533744632,0.008529510958267919,0.007180333105324967,4.045600231675023e-05,0.0007146394006453386,0.028660071432473573,0.028803798587395596,0.02873187541261133,0.024476568738696483,0.00026756856534204676,0.0008840886363247202,0.0005374166055467366,advisor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),4,0.5,1.0,0.00023420792454186275,-1.0173202818270637e-06,7.944379802459518e-06,0.00011710396227093137,0.008516248095843747,0.00857118338359204,0.008543689180213272,0.005254870158107153,5.4935295218661523e-05,0.0007149941822213577,0.02867757610060909,0.028873031919126713,0.028775194085996568,0.0218769800551344,0.000571242987798759,0.001393211616925627,0.0009817302532152405,actor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),5,0.5,1.0,0.0003035606078154484,-1.3004465479716519e-06,7.948494908064743e-06,0.0001517803039077242,0.008528721558323524,0.008598945653330069,0.008563790681000837,0.005562191580648356,7.022411359046932e-05,0.000715364541725828,0.028714972471530487,0.028967740621704728,0.028841172057681923,0.018636388821646064,0.0005713232117137146,0.001042806035897459,0.0008066825343459039,actor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),6,0.5,1.0,0.00034971669270900373,-1.501588486897922e-06,7.950880260430267e-06,0.00017485834635450187,0.008543341580193715,0.008624427328720043,0.008583827634588112,0.004748795783040881,8.108577829248791e-05,0.0007155792234387251,0.02875915798093553,0.029050934199045114,0.028904802054039246,0.01578538431679554,0.00048690044871857463,0.0008835062474524813,0.0006848351531082431,actor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),7,0.5,1.0,0.00038706696160547703,-1.6890857391000732e-06,7.952675562176129e-06,0.00019353348080273852,0.008556504231192384,0.008647714824082256,0.008602037101197373,0.0074964531553979455,9.12106299114041e-05,0.0007157408005958527,0.028797931204628223,0.029124555934767295,0.02896093797953493,0.024767381395073736,0.0005414924809079569,0.0011867792868012206,0.0008647044677805305,actor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),8,0.5,1.0,0.00044223001739316194,-1.9326247901627085e-06,7.954604555958512e-06,0.00022111500869658097,0.008571155628171394,0.008675517310817227,0.00862324191351791,0.008715553344840594,0.00010436173866878643,0.0007159144100362672,0.02884327379308592,0.029217448547651414,0.029029960557275705,0.02399498577949083,0.0005696438402222892,0.00104044371338885,0.0007799623552385837,actor_first
bridge_multiseed,0.5,0,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),9,0.5,1.0,0.0004923433125333921,-2.14603843705253e-06,7.958373905872751e-06,0.00024617165626669604,0.00858626144813021,0.00870214743443887,0.008644089264418751,0.0093299085812545,0.0001158860756008368,0.0007162536515285487,0.02888761228408177,0.029304712568761118,0.029095666639539136,0.02320398837219203,0.0005405048062634421,0.0009187669218497785,0.0007300218021086824,actor_first
