cfg.experiment,cfg.held_beta,cfg.seed,cfg.n_iters,cfg.snapshots,cfg.train_eps,cfg.probe_eps,cfg.critic_iters,cfg.roster,cfg.recipe,cfg.gae_lambda,cfg.tau,cfg.gamma,cfg.j_opt,cfg.fragile_thresh,cfg.buffer,cfg.cnn_channels,cfg.torch,cfg.device,cfg.instrument,iter,beta,lam,D_e,G_beta,H_lambda,I_e,J_ext_actor,J_ext_advisor,J_ext_mix,J_ext_mix_hat,dJ_dbeta,dJ_dlambda,distr_occ_actor,distr_occ_advisor,distr_occ_mix,distr_occ_mix_hat,max_rA_dev,max_rB_dev,max_rphi_dev,order
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),0,0.4,1.0,0.0,0.0,7.932079564166815e-06,0.0,0.008477069553485412,0.008477069553485412,0.008477069553485412,0.006091727599046287,-0.0,0.0005711097286200116,0.028561813333302318,0.028561813333302318,0.028561813333302318,0.018276478990852444,0.0007976978854495886,0.0010311395922486533,0.0008910745681691701,actor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),1,0.4,1.0,3.170341395073821e-05,-7.003770351614972e-08,7.936498353581177e-06,1.2681365580295284e-05,0.008490027992239474,0.008493810059910751,0.008491540781256775,0.003104084156525,3.7820359898720907e-06,0.0005714278814578456,0.028597446555046577,0.028613363909069718,0.028603812934341402,0.015173583135041087,0.0005670532721524513,0.0009504073863588758,0.0007204163765150984,actor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),2,0.4,1.0,6.73141331311485e-05,-1.9143625994050248e-07,7.939801424555706e-06,2.6925653252459403e-05,0.008499386394019707,0.008509724375453321,0.008503521078072299,0.001964766290005465,1.033755803678715e-05,0.0005716657025680118,0.028623782958228004,0.028663846474117363,0.028639804727685216,0.011799988595652441,0.00042151636433596096,0.000536762300566318,0.00046761385947258205,advisor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),3,0.4,1.0,9.888844301073379e-05,-2.9989865753690875e-07,7.94264137434062e-06,3.955537720429352e-05,0.00850470839861498,0.008520904154510463,0.008511185225471209,0.0026357786296807547,1.6194527506993098e-05,0.0005718701789525256,0.028636706841561627,0.028697760855932564,0.028661119738997674,0.014926112170775732,0.0004023664131089788,0.0005136057171550856,0.00041708020888986397,actor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),4,0.4,1.0,0.0001202725079485927,-3.5234845476502333e-07,7.944058978537261e-06,4.8109003179437084e-05,0.008512724315183462,0.008531752767665188,0.008520333730609862,0.004909800155874769,1.902681655731129e-05,0.0005719722464546837,0.028659481651294345,0.028732201079048322,0.028688557024351285,0.017024625291279964,0.0007333806968501388,0.0008945076946793584,0.000797871419299101,advisor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),5,0.4,1.0,0.00014766219972771569,-4.4370455134348205e-07,7.946572521010946e-06,5.906487989108628e-05,0.00852435506242196,0.008548317884721528,0.008533936855063711,0.006253925609280825,2.396004577254807e-05,0.0005721532215127891,0.028692086102589817,0.02878316653130674,0.02872849847252042,0.022625428289012955,0.0006019321116714771,0.0008944902365448648,0.000718988080960381,advisor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),6,0.4,1.0,0.00018156430430403133,-5.653729377100322e-07,7.949583180445603e-06,7.262572172161253e-05,0.00853442256409145,0.008564957564109002,0.008546630722270288,0.008661976827645123,3.053013863634179e-05,0.0005723699889920844,0.02871830150551869,0.02883318424765341,0.028764222241251032,0.01987937661695604,0.0007552376729635935,0.0008942175738957392,0.000786610953183331,actor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),7,0.4,1.0,0.0002019076604345597,-6.021831066647921e-07,7.95210291328427e-06,8.076306417382389e-05,0.008549239905092187,0.008581762818788813,0.00856224302766687,0.005201359852572988,3.2517887759898824e-05,0.0005725514097564684,0.028758677448140937,0.028883372766976403,0.02880851803304391,0.017169279119750074,0.0005111957834662562,0.0007123709713210413,0.0005917424614430011,advisor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),8,0.4,1.0,0.00022070834297465564,-6.778011890410641e-07,7.953996793558044e-06,8.828333718986226e-05,0.008559507448860205,0.00859611507240481,0.008574142850395042,0.01014287467820324,3.660126420821752e-05,0.0005726877691361801,0.028787031371089157,0.02892677212990783,0.02884288091721012,0.023178723864395553,0.0007183349239481274,0.0008716274220195164,0.0007796803332187352,actor_first
bridge_multiseed,0.4,1,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),9,0.4,1.0,0.00023935443973150837,-7.149627156611855e-07,7.956375427300474e-06,9.574177589260336e-05,0.008575121964550838,0.008613736749027677,0.00859055969925013,0.013743250513124656,3.860798664570408e-05,0.000572859030765635,0.028831163349826442,0.028980415839111907,0.028890810542480702,0.033285939061124974,0.0010275799357628568,0.0010201463454044823,0.0010246033105933972,advisor_first
