cfg.experiment,cfg.held_beta,cfg.seed,cfg.n_iters,cfg.snapshots,cfg.train_eps,cfg.probe_eps,cfg.critic_iters,cfg.roster,cfg.recipe,cfg.gae_lambda,cfg.tau,cfg.gamma,cfg.j_opt,cfg.fragile_thresh,cfg.buffer,cfg.cnn_channels,cfg.torch,cfg.device,cfg.instrument,iter,beta,lam,D_e,G_beta,H_lambda,I_e,J_ext_actor,J_ext_advisor,J_ext_mix,J_ext_mix_hat,dJ_dbeta,dJ_dlambda,distr_occ_actor,distr_occ_advisor,distr_occ_mix,distr_occ_mix_hat,max_rA_dev,max_rB_dev,max_rphi_dev,order
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),0,0.2,1.0,0.0,0.0,7.932079564166815e-06,0.0,0.008477069553485412,0.008477069553485412,0.008477069553485412,0.006136342384339544,-0.0,0.0002855548643100058,0.028561813333302318,0.028561813333302318,0.028561813333302318,0.018835792727156152,0.0008431223726357295,0.0004779242186458976,0.0007700827418377632,advisor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),1,0.2,1.0,5.6561436276307726e-05,2.4203263588176e-07,7.932092394374921e-06,1.1312287255261545e-05,0.008502276139111116,0.008489210772286636,0.008499661893556063,0.006146267883439312,-1.306976233761506e-05,0.0002855553261974976,0.02863565199984066,0.028599389996290983,0.028628397130918755,0.020515378460728335,0.0006939130426204532,0.00040951343203454726,0.0006370497256700247,advisor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),2,0.2,1.0,9.19058708362439e-05,4.025588159863514e-07,7.933365824692067e-06,1.838117416724878e-05,0.00852310308658753,0.008501377160526697,0.008518754634451411,0.0075827198141490935,-2.173817606326301e-05,0.00028560116968891485,0.02869736937231117,0.02863743853500697,0.02868537633579061,0.029466630193504196,0.0009003188830376541,0.000435393345611379,0.0007919446132389485,actor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),3,0.2,1.0,0.00015540255149315365,6.772870866135272e-07,7.932143077720017e-06,3.108051029863073e-05,0.00855135394355073,0.008514814341789335,0.008544036981922984,0.006849851778291518,-3.657350267713052e-05,0.00028555715079792106,0.02878263546967348,0.02868014543610586,0.028762117777857824,0.020578116634381194,0.0006473218146862969,0.00039522252266155355,0.0005969345211371824,actor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),4,0.2,1.0,0.00020208402400284225,8.890496895249316e-07,7.933489337952388e-06,4.0416804800568453e-05,0.008574484286705217,0.008526534457526927,0.008564878623939865,0.004023223829877402,-4.800868323434638e-05,0.0002856056161662864,0.028848925558188174,0.028715536046519545,0.028822214082013235,0.01763818436714792,0.0007341890829701825,0.00033240662482558747,0.0006348487675524872,advisor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),5,0.2,1.0,0.00023802837152609517,1.0516099595473e-06,7.93432339459205e-06,4.760567430521904e-05,0.008593770191331777,0.008537065719845931,0.008582407301687708,0.014625727583949985,-5.678693781555429e-05,0.0002856356422053142,0.028902986478289157,0.02874779890795709,0.0288719036605075,0.030042524680812595,0.0013477006566613436,0.000590273461378743,0.0011963606611316013,advisor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),6,0.2,1.0,0.00031787488658847755,1.4544372560578753e-06,7.931835729467683e-06,6.35749773176955e-05,0.008630001024687268,0.008551622004659776,0.008614282383260487,0.004712210247936705,-7.853961182712538e-05,0.00028554608626083704,0.029012664273967842,0.02879353847184634,0.028968746743652886,0.016085024837897678,0.0005827375494543707,0.0004348821835489236,0.0005353885577191742,advisor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),7,0.2,1.0,0.00034972107449071903,1.6105651514819183e-06,7.932931367539476e-06,6.994421489814382e-05,0.008648758089834141,0.008561985337765934,0.00863135078360923,0.0017333548547812875,-8.697051818002373e-05,0.0002855855292314216,0.029065860816769512,0.028825451045258257,0.029017667336854354,0.013343566022509861,0.0003790709199049669,0.00029236134457466534,0.00035760618725366733,advisor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),8,0.2,1.0,0.00035497890269971683,1.6457736997054363e-06,7.932784389718027e-06,7.099578053994337e-05,0.008659847098443299,0.008571181293046144,0.008642058991658558,0.006041562566211942,-8.88717797840937e-05,0.0002855802380298494,0.02909823209635025,0.028853714915827264,0.029049214062992424,0.01827469640769369,0.0006704844570102342,0.00033532548999792855,0.0005982710074914355,actor_first
bridge_multiseed,0.2,3,2500,"[250, 800, 1600, 2499]",200,1500,40,"[""flat_nobeta"", ""onehot_nobeta"", ""conv_nobeta"", ""tabular""]","{'hidden': 128, 'epochs': 200, 'conv': (16, 32), 'lr': 0.003, 'batch': 512, 'crop': 7}",0.95,0.3,0.9814814814814815,0.7278,0.02,"held-beta-only (no pooling, no beta-conditioning)","wallN,wallE,wallS,wallW,agent_center,oob,goal_tile_identity",2.9.1+cu126,cuda,room-field (exp_control.build),9,0.2,1.0,0.00039698037061307556,1.8609509968324777e-06,7.931799481068388e-06,7.939607412261512e-05,0.008682247929460908,0.008582017741630326,0.008662132221028827,0.01130378434268531,-0.00010049135382895395,0.0002855447813184624,0.02916431509953767,0.02888686151199512,0.02910867789889285,0.02465374761643786,0.0009310549299303972,0.00035355627127398037,0.0008157768945940003,advisor_first
