cfg.experiment,cfg.size,cfg.start,cfg.goal,cfg.distractor,cfg.r_int,cfg.distractor_idx,cfg.beta,cfg.lr,cfg.delta_c,cfg.delta_phi,cfg.tau,cfg.gamma,cfg.horizon,cfg.J_opt,cfg.d_grid,cfg.seeds,cfg.n_iters,J_advisor,J_clean,J_deployed_mix,J_mix,d,occ_advisor,occ_clean,occ_deployed_mix,occ_mix,pct_clean,pct_deployed_mix,pct_mix,residual,seed
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.00014014201711697415,0.7155194679441427,0.3992603311660572,0.678307613336877,6,0.11899123647951214,1.3662281428795663e-08,0.009859360055258148,1.7342724405801722e-09,0.9831631409632402,0.548605675788388,0.9320320040818565,0.037211854607265726,2
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,3.669528698361465e-09,0.689918986755875,0.4336878570509347,0.3210192428817322,6,0.002810946938914543,0.0003829138132722066,0.024334890996658344,1.2888847904945865e-07,0.9479866704088535,0.5959109917175582,0.4410981130228083,0.3688997438741428,3
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,5.735773597731417e-08,0.7174716104998804,0.3965371329622754,0.711348030503036,6,0.01623093889485704,5.737473512963864e-11,0.03420316959676234,1.9016165715885428e-11,0.9858454923075323,0.5448638515342021,0.9774313562660133,0.0061235799968444304,4
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.1191309621394658e-05,0.6711272630371861,0.38807160672628893,0.43640275014580554,6,0.12596232171286711,9.469624420715736e-07,0.013916855974090148,5.359192569920956e-08,0.9221658074650909,0.5332317524272511,0.5996414042948733,0.23472451289138052,5
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,3.103237772526124e-06,0.714837065222502,0.4170815049527815,0.5947393271465442,6,0.13833507329257874,2.554436577788918e-06,0.02767786032523291,2.0076740591532315e-06,0.982225482054898,0.5730929496932476,0.8172045781113636,0.1200977380759578,6
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,2.5541360435227686e-13,0.6651286294785097,0.2592941726095475,0.06760675290170248,6,6.513113479949386e-06,1.3018156504885669e-05,0.14414107945404742,9.134313980691953e-08,0.913923354708381,0.35628446827413,0.09289540049014061,0.5975218765768072,7
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.9735445182219264e-13,0.7107108338137278,0.17853066504947965,0.43741161963359426,8,0.001311504741414755,1.6110519240705303e-06,0.3843726669909912,1.0483667472484125e-07,0.9765558129348562,0.24531096255511667,0.6010276465131127,0.27329921418013353,0
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,7.446654256489072e-06,0.7172795873025408,0.37678247554712646,0.4287080218963879,8,0.11418250570364981,3.057441572103195e-06,0.03857564882960388,6.911580240282048e-10,0.9855816418627964,0.517719864678422,0.5890684240567639,0.2885715654061529,1
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.0003670069541189621,0.7158259302686324,0.36593422416642657,0.6791699123427847,8,0.1811014106463169,1.2971084501796801e-07,0.008828676203766013,2.4484810034387752e-09,0.9835842370689799,0.5028137700447532,0.9332168503887411,0.03665601792584772,2
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,2.2725020897141295e-08,0.7187026193837076,0.3422964169169747,0.6314414362027709,8,8.259437738767659e-05,6.477248067957398e-05,0.04334981123109558,7.754650177820754e-08,0.9875369662855285,0.47033412153479975,0.8676352965422311,0.08726118318093667,3
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,2.1861972214619806e-06,0.7170937355446553,0.3720487777611271,0.004766475436613151,8,0.7116113998664662,1.8711565232985288e-06,0.032947153715960326,1.2574561047951779e-13,0.9853262713156312,0.5112155033127894,0.0065493996621075155,0.7123272601080421,4
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,2.3508409966804813e-13,0.7172409185563158,0.26761965485963685,0.5368230320423186,8,0.0034780790465482867,9.61533270873893e-08,0.05649061521347856,6.054715011689272e-10,0.9855285088766249,0.36772413923451613,0.7376244001307003,0.18041788651399715,5
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.577650823067094e-11,0.710488251790608,0.2720482509243241,0.6453601539956663,8,0.00047120220280179185,1.0080070854292487e-06,0.04646692018529058,6.873512021952357e-13,0.9762499729811214,0.37380927403808134,0.8867603810668526,0.06512809779494177,6
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,5.212230772721754e-05,0.6863069903126182,0.3919432799418752,0.588310787698238,8,0.11528649531052496,0.00020910042792167006,0.018010157790337565,5.639105292147251e-07,0.9430235884419801,0.5385516445754773,0.8083714109943841,0.09799620261438025,7
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,5.660661741930988e-06,0.7113943643360049,0.39381793634915757,0.6512204711060195,12,0.19020360294028632,7.83323369672218e-07,0.016378768726567423,2.111985550672959e-11,0.9774950215033624,0.5411275256858911,0.8948127794087316,0.06017389322998534,0
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.009538279566287897,0.7167987138531706,0.4628122370441921,0.6875742571451636,12,0.177548453040323,3.818086347429168e-07,0.0017069892952516048,2.5293446706559207e-08,0.9849208952694899,0.6359294932337367,0.94476488283765,0.029224456708006996,1
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,5.0463590434591055e-08,0.7187302310899137,0.47128102604366856,0.6662035788512354,12,0.580419508192027,2.628873159769165e-05,0.057468052050435474,0.002728432659183805,0.9875749062899828,0.6475660755573504,0.9154003943264672,0.05252665223867836,2
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,4.812903515346512e-09,0.7182174640804558,0.3994532910264967,0.013179738784621685,12,0.004349237119366552,3.130933661426119e-07,0.021921549109900053,1.0243406376509157e-10,0.9868703361892566,0.5488708132597899,0.018109686683710543,0.7050377252958342,3
